POI_name,yelp_id,review_count,total_bikes,yelp_rating
Arizona State Senate,EWz900rMMJe1jRp3pKpafw,13.0,63,4.5
Circle of Peace Sculpture,-AxAWh6lFkHiceaIr3xwdw,1.0,272,5.0
Civic Space Park,x8Q7kVKHPD1aXNRTSpBObA,26.0,248,4.0
Elmore Pedestrian Bridge,x0hb2znpFt-dDHz7E4Taaw,1.0,75,4.0
Entombment of George W P Hunt,wR5u-aOzwFPsXXntEoZzFQ,3.0,8,4.5
Hackett House,aiaaQNthqbNFfINNwc2Otg,5.0,180,4.0
Historic Heritage Square,NujffVKeHWLWLOFGbPVR6Q,40.0,271,4.0
Monroe Street Abbey,Nrp2qbjJVX9-PKlAvPHO8w,3.0,270,4.5
State of Arizona,2VtoFccI3ZjZunrhgwJjOw,2.0,63,4.5
University Club At ASU,GOCmVQnN91HNdCp4N8Mw1Q,2.0,219,3.5
Wesley Bolin Memorial Plaza,-0KqNhmK40DTzwUPM_Ik9g,28.0,63,4.5
When I Was Hungry and Thirsty,pJaxpTUaGCkZy9VGaDLd4w,1.0,294,5.0
